Frequency (Hz)	Level (dB)
1640.625000	-44.876728
1646.484375	-45.133881
1652.343750	-44.756714
1658.203125	-44.564285
1664.062500	-44.453377
1669.921875	-44.619282
1675.781250	-44.810238
1681.640625	-45.083805
1687.500000	-45.161419
1693.359375	-45.050480
1699.218750	-44.819328
1705.078125	-44.967098
1710.937500	-44.903095
1716.796875	-45.065655
1722.656250	-45.054836
1728.515625	-45.088814
1734.375000	-45.007015
1740.234375	-45.196114
1746.093750	-45.265667
1751.953125	-45.132275
1757.812500	-45.354950
1763.671875	-45.495094
1769.531250	-45.319286
1775.390625	-45.277885
1781.250000	-45.309265
1787.109375	-45.498737
1792.968750	-45.579151
1798.828125	-45.536755
1804.687500	-45.514549
1810.546875	-45.528450
1816.406250	-45.455841
1822.265625	-45.410141
1828.125000	-45.579678
1833.984375	-45.544109
1839.843750	-45.599361
1845.703125	-45.358475
1851.562500	-45.465733
1857.421875	-45.676510
1863.281250	-45.782463
1869.140625	-45.857792
1875.000000	-45.939117
1880.859375	-46.057594
1886.718750	-46.068317
1892.578125	-45.725628
1898.437500	-45.804173
1904.296875	-45.939243
1910.156250	-45.855415
1916.015625	-45.861130
1921.875000	-45.869083
1927.734375	-45.841835
1933.593750	-46.085533
1939.453125	-46.253319
1945.312500	-46.279293
1951.171875	-46.152401
1957.031250	-46.176910
1962.890625	-46.224792
1968.750000	-46.038666
1974.609375	-46.178570
1980.468750	-46.438591
1986.328125	-45.993443
1992.187500	-46.178593
1998.046875	-46.422207
2003.906250	-46.538773
2009.765625	-46.921474
2015.625000	-46.680950
2021.484375	-46.610413
2027.343750	-46.345577
2033.203125	-46.446884
2039.062500	-46.673023
2044.921875	-46.824112
2050.781250	-46.916042
2056.640625	-46.422958
2062.500000	-46.788105
2068.359375	-46.786976
2074.218750	-46.840481
2080.078125	-46.838760
2085.937500	-46.914856
2091.796875	-46.905136
2097.656250	-46.744282
2103.515625	-46.953617
2109.375000	-46.800243
2115.234375	-46.421642
2121.093750	-46.642399
2126.953125	-47.090340
2132.812500	-47.266682
2138.671875	-47.021515
2144.531250	-47.144737
2150.390625	-47.442493
2156.250000	-47.319447
2162.109375	-47.271912
2167.968750	-47.198097
2173.828125	-47.234493
2179.687500	-47.223557
2185.546875	-47.021835
2191.406250	-47.221195
2197.265625	-47.163593
2203.125000	-47.429802
2208.984375	-47.691330
2214.843750	-47.542870
2220.703125	-47.509945
2226.562500	-47.518284
2232.421875	-47.364784
2238.281250	-47.355316
2244.140625	-47.318607
2250.000000	-47.401073
2255.859375	-47.634933
2261.718750	-47.253597
2267.578125	-47.330170
2273.437500	-47.379696
2279.296875	-47.326683
2285.156250	-47.398331
2291.015625	-47.563667
2296.875000	-47.578846
2302.734375	-47.522491
2308.593750	-47.739769
2314.453125	-47.792114
2320.312500	-47.908741
2326.171875	-47.948212
2332.031250	-47.825420
2337.890625	-47.886745
2343.750000	-47.875153
2349.609375	-47.933945
2355.468750	-48.131042
2361.328125	-48.064331
2367.187500	-47.837727
2373.046875	-47.762856
2378.906250	-47.752560
2384.765625	-47.963810
2390.625000	-48.384689
2396.484375	-48.365776
2402.343750	-48.238525
2408.203125	-48.264343
2414.062500	-47.934998
2419.921875	-47.881676
2425.781250	-48.315144
2431.640625	-48.011749
2437.500000	-48.070602
2443.359375	-48.059685
2449.218750	-47.971336
2455.078125	-48.152836
2460.937500	-48.357079
2466.796875	-48.507874
2472.656250	-48.369938
2478.515625	-48.318615
2484.375000	-48.357494
2490.234375	-48.173111
2496.093750	-48.217937
2501.953125	-48.422600
2507.812500	-48.575855
2513.671875	-48.418610
2519.531250	-48.255936
2525.390625	-48.153652
2531.250000	-48.457962
2537.109375	-48.579319
2542.968750	-48.546371
2548.828125	-48.354458
2554.687500	-48.532772
2560.546875	-48.790600
2566.406250	-48.718685
2572.265625	-48.711723
2578.125000	-48.414204
2583.984375	-48.491680
2589.843750	-48.856125
2595.703125	-48.767254
2601.562500	-48.788784
2607.421875	-48.595898
2613.281250	-48.650223
2619.140625	-48.606121
2625.000000	-48.829056
2630.859375	-48.740612
2636.718750	-48.439991
2642.578125	-48.396507
2648.437500	-48.517715
2654.296875	-48.844215
2660.156250	-48.930439
2666.015625	-48.968498
2671.875000	-48.926529
2677.734375	-48.771706
2683.593750	-49.114067
2689.453125	-49.116352
2695.312500	-48.768078
2701.171875	-48.830807
2707.031250	-48.924763
2712.890625	-48.919571
2718.750000	-49.000538
2724.609375	-49.120178
2730.468750	-49.129948
2736.328125	-49.167576
2742.187500	-48.912823
2748.046875	-49.125156
2753.906250	-49.358871
2759.765625	-49.408897
2765.625000	-49.240528
2771.484375	-49.104488
2777.343750	-49.379147
2783.203125	-49.015434
2789.062500	-49.010830
2794.921875	-49.275387
2800.781250	-49.480148
2806.640625	-49.306053
2812.500000	-49.308491
2818.359375	-49.260078
2824.218750	-49.288250
2830.078125	-49.191490
2835.937500	-49.293156
2841.796875	-49.358665
2847.656250	-49.553146
2853.515625	-49.627346
2859.375000	-49.456165
2865.234375	-49.693638
2871.093750	-49.711514
2876.953125	-49.886162
2882.812500	-50.016602
2888.671875	-49.963573
2894.531250	-50.092178
2900.390625	-50.118725
2906.250000	-49.779854
2912.109375	-49.791744
2917.968750	-49.730701
2923.828125	-49.626442
2929.687500	-49.623100
2935.546875	-49.907082
2941.406250	-49.956661
2947.265625	-49.848827
2953.125000	-49.790714
2958.984375	-49.929440
2964.843750	-49.921658
2970.703125	-49.807899
2976.562500	-49.748894
2982.421875	-49.842972
2988.281250	-49.794010
2994.140625	-49.778122
3000.000000	-50.288036
3005.859375	-50.260342
3011.718750	-49.913414
3017.578125	-49.982231
3023.437500	-50.221931
3029.296875	-50.185177
3035.156250	-50.083569
3041.015625	-50.055843
3046.875000	-50.014824
3052.734375	-49.966118
3058.593750	-50.144989
3064.453125	-50.266064
3070.312500	-50.120831
3076.171875	-50.198154
3082.031250	-50.159061
3087.890625	-49.964367
3093.750000	-50.054550
3099.609375	-50.389252
3105.468750	-50.192486
3111.328125	-49.960224
3117.187500	-50.096848
3123.046875	-50.055248
3128.906250	-50.115501
3134.765625	-50.250427
3140.625000	-50.732716
3146.484375	-50.603119
3152.343750	-50.442062
3158.203125	-50.560875
3164.062500	-50.256790
3169.921875	-50.243809
3175.781250	-50.096836
3181.640625	-50.156364
3187.500000	-49.948315
3193.359375	-50.147835
3199.218750	-50.569595
3205.078125	-50.629818
3210.937500	-50.586830
3216.796875	-50.580723
3222.656250	-50.651943
3228.515625	-50.687912
3234.375000	-50.598560
3240.234375	-50.446186
3246.093750	-50.768276
3251.953125	-51.096169
3257.812500	-50.801743
3263.671875	-50.803459
3269.531250	-50.805477
3275.390625	-51.004879
3281.250000	-50.787544
3287.109375	-50.760815
3292.968750	-50.680756
3298.828125	-50.677334
3304.687500	-50.726879
3310.546875	-50.748863
3316.406250	-50.596977
3322.265625	-50.761589
3328.125000	-50.824615
3333.984375	-50.927597
3339.843750	-50.773743
3345.703125	-50.893723
3351.562500	-50.820477
3357.421875	-50.816242
3363.281250	-50.695873
3369.140625	-50.848431
3375.000000	-51.011875
3380.859375	-51.064579
3386.718750	-51.058281
3392.578125	-50.742256
3398.437500	-51.168221
3404.296875	-51.287643
3410.156250	-51.324619
3416.015625	-51.119808
3421.875000	-50.995216
3427.734375	-51.258972
3433.593750	-51.215397
3439.453125	-51.140491
3445.312500	-51.009121
3451.171875	-50.968323
3457.031250	-50.921898
3462.890625	-51.156563
3468.750000	-51.536659
3474.609375	-51.188087
3480.468750	-51.180710
3486.328125	-51.095886
3492.187500	-51.302338
3498.046875	-51.035210
3503.906250	-51.078701
3509.765625	-51.212776
3515.625000	-51.090710
3521.484375	-51.145340
3527.343750	-51.013069
3533.203125	-51.013695
3539.062500	-51.336491
3544.921875	-51.362450
3550.781250	-51.500378
3556.640625	-51.103073
3562.500000	-51.100925
3568.359375	-51.296146
3574.218750	-51.540100
3580.078125	-51.515465
3585.937500	-51.721355
3591.796875	-51.684780
3597.656250	-51.808472
3603.515625	-51.380207
3609.375000	-51.622124
3615.234375	-51.624359
3621.093750	-51.437614
3626.953125	-51.447121
3632.812500	-51.543457
3638.671875	-51.532833
3644.531250	-51.560307
