### Test phase results ###
session_id;trialnum;condition;researcher_id;listnr;OrigNr;Set;NrSyll;conson;NrInSet;Cond;Stimulus;vis_WavFilename;inv_WavFilename;List;visible_recording_starttime;visible_recording_endtime;invisible_recording_starttime;invisible_recording_endtime;vis_rt;inv_rt
0004;0;0;JD;1;1;0;1;d/b+k;1;B;daf-bekken-baken-dep;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T001N001L1S00B-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T001N001L1S00B-B.wav;1;2015-07-10T11:14:27.811058Z;2015-07-10T11:14:28.690172Z;2015-07-10T11:14:28.690585Z;2015-07-10T11:14:29.190151Z;879;500
0004;1;0;JD;1;2;0;2;n/v+k;2;W;nukken-vulcaan-vokaal-nimmer;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T002N002L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T002N002L1S00W-B.wav;1;2015-07-10T11:14:29.190570Z;2015-07-10T11:14:29.220748Z;2015-07-10T11:14:29.221059Z;2015-07-10T11:14:29.250915Z;30;29
0004;2;0;JD;1;3;0;1;g/r+d;4;N;git-dieren-doris-gal;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T003N003L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T003N003L1S00N-B.wav;1;2015-07-10T11:14:29.251257Z;2015-07-10T11:14:29.281085Z;2015-07-10T11:14:29.281427Z;2015-07-10T11:14:29.312253Z;30;31
0004;3;0;JD;1;4;0;1;l/r+k;4;N;lis-kieren-kuren-lek;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T004N004L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T004N004L1S00N-B.wav;1;2015-07-10T11:14:29.312606Z;2015-07-10T11:14:29.343178Z;2015-07-10T11:14:29.343498Z;2015-07-10T11:14:29.373460Z;31;30
0004;4;0;JD;1;5;0;2;k/g+l;4;N;bedis-lemmet-lijmen-gedol;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T005N005L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T005N005L1S00N-B.wav;1;2015-07-10T11:14:29.373818Z;2015-07-10T11:14:29.403117Z;2015-07-10T11:14:29.403440Z;2015-07-10T11:14:29.434484Z;30;31
0004;5;0;JD;1;6;0;2;l/k+r;2;W;lommer-rokin-recruut-lasser;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T006N006L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T006N006L1S00W-B.wav;1;2015-07-10T11:14:29.434831Z;2015-07-10T11:14:29.464230Z;2015-07-10T11:14:29.464543Z;2015-07-10T11:14:29.494813Z;30;30
0004;6;0;JD;1;7;0;2;l/n+k;3;S;velours-kanon-konijn-geloof;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T007N007L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T007N007L1S00S-B.wav;1;2015-07-10T11:14:29.495139Z;2015-07-10T11:14:29.524550Z;2015-07-10T11:14:29.524884Z;2015-07-10T11:14:29.554492Z;29;29
0004;7;0;JD;1;8;0;1;v/r+g;3;S;vin-gerei-gareel-vel;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T008N008L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T008N008L1S00S-B.wav;1;2015-07-10T11:14:29.554870Z;2015-07-10T11:14:29.584776Z;2015-07-10T11:14:29.585076Z;2015-07-10T11:14:29.614945Z;30;29
0004;8;0;JD;1;8;0;1;n/m+l;2;W;nop-malloot-moluk-nes;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T009N008L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T009N008L1S00W-B.wav;1;2015-07-10T11:14:29.615266Z;2015-07-10T11:14:29.645085Z;2015-07-10T11:14:29.645415Z;2015-07-10T11:14:29.676243Z;30;31
0004;9;0;JD;1;9;0;1;k/l+r;3;S;kol-roelien-relaas-keep;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T010N009L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T010N009L1S00S-B.wav;1;2015-07-10T11:14:29.676586Z;2015-07-10T11:14:29.706467Z;2015-07-10T11:14:29.706850Z;2015-07-10T11:14:30.290170Z;30;584
0004;10;0;JD;1;10;0;2;m/t+n;1;B;meter-tennis-tunnel-moker;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T011N010L1S00B-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-P-T011N010L1S00B-B.wav;1;2015-07-10T11:14:30.290588Z;2015-07-10T11:14:30.792717Z;2015-07-10T11:14:30.801263Z;2015-07-10T11:14:30.821267Z;500;20
;0;0;;0;0;0;0;;0;;;;;0;1970-01-01T00:00:00.000000Z;1970-01-01T00:00:00.000000Z;1970-01-01T00:00:00.000000Z;1970-01-01T00:00:00.000000Z;0;0
0004;0;0;JD;1;1;1;1;w/r+p;1;B;wok-rapper-roeper-wal;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-T-T001N001L1S01B-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-T-T001N001L1S01B-B.wav;1;2015-07-10T11:14:33.354664Z;2015-07-10T11:14:36.325908Z;2015-07-10T11:14:36.334116Z;2015-07-10T11:14:36.822105Z;2968;488
0004;1;0;JD;1;2;1;1;w/r+p;2;W;wad-rapport-rapier-wol;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-T-T002N002L1S01W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/004-test1-T-T002N002L1S01W-B.wav;1;2015-07-10T11:14:36.822418Z;2015-07-10T11:14:36.852985Z;2015-07-10T11:14:36.853253Z;2015-07-10T11:14:36.883456Z;30;30
