### Test phase results ###
session_id;trialnum;condition;researcher_id;listnr;OrigNr;Set;NrSyll;conson;NrInSet;Cond;Stimulus;vis_WavFilename;inv_WavFilename;List;visible_recording_starttime;visible_recording_endtime;invisible_recording_starttime;invisible_recording_endtime;vis_rt;inv_rt
0018;0;0;JD;1;1;0;1;d/b+k;1;B;daf-bekken-baken-dep;./bwsn/data/bwsn/018-dummy-P-T001N001L1S00B-A.wav;./bwsn/data/bwsn/018-dummy-P-T001N001L1S00B-B.wav;1;2015-07-23T10:48:25.445504Z;2015-07-23T10:48:30.194026Z;2015-07-23T10:48:30.201338Z;2015-07-23T10:48:35.513121Z;4681;5221
0018;1;0;JD;1;2;0;2;n/v+k;2;W;nukken-vulcaan-vokaal-nimmer;./bwsn/data/bwsn/018-dummy-P-T002N002L1S00W-A.wav;./bwsn/data/bwsn/018-dummy-P-T002N002L1S00W-B.wav;1;2015-07-23T10:48:35.519017Z;2015-07-23T10:48:36.579654Z;2015-07-23T10:48:36.585435Z;2015-07-23T10:48:37.293424Z;1039;693
0018;2;0;JD;1;3;0;1;g/r+d;4;N;git-dieren-doris-gal;./bwsn/data/bwsn/018-dummy-P-T003N003L1S00N-A.wav;./bwsn/data/bwsn/018-dummy-P-T003N003L1S00N-B.wav;1;2015-07-23T10:48:37.299260Z;2015-07-23T10:48:37.793584Z;2015-07-23T10:48:37.799287Z;2015-07-23T10:48:38.370955Z;483;559
0018;3;0;JD;1;4;0;1;l/r+k;4;N;lis-kieren-kuren-lek;./bwsn/data/bwsn/018-dummy-P-T004N004L1S00N-A.wav;./bwsn/data/bwsn/018-dummy-P-T004N004L1S00N-B.wav;1;2015-07-23T10:48:38.376942Z;2015-07-23T10:48:38.849249Z;2015-07-23T10:48:38.855000Z;2015-07-23T10:48:39.166525Z;462;303
0018;4;0;JD;1;5;0;2;k/g+l;4;N;bedis-lemmet-lijmen-gedol;./bwsn/data/bwsn/018-dummy-P-T005N005L1S00N-A.wav;./bwsn/data/bwsn/018-dummy-P-T005N005L1S00N-B.wav;1;2015-07-23T10:48:39.172150Z;2015-07-23T10:48:39.510953Z;2015-07-23T10:48:39.516410Z;2015-07-23T10:48:39.773410Z;330;250
0018;5;0;JD;1;6;0;2;l/k+r;2;W;lommer-rokin-recruut-lasser;./bwsn/data/bwsn/018-dummy-P-T006N006L1S00W-A.wav;./bwsn/data/bwsn/018-dummy-P-T006N006L1S00W-B.wav;1;2015-07-23T10:48:39.778883Z;2015-07-23T10:48:40.045575Z;2015-07-23T10:48:40.051062Z;2015-07-23T10:48:40.260743Z;260;203
0018;6;0;JD;1;7;0;2;l/n+k;3;S;velours-kanon-konijn-geloof;./bwsn/data/bwsn/018-dummy-P-T007N007L1S00S-A.wav;./bwsn/data/bwsn/018-dummy-P-T007N007L1S00S-B.wav;1;2015-07-23T10:48:40.271928Z;2015-07-23T10:48:40.476540Z;2015-07-23T10:48:40.482089Z;2015-07-23T10:48:40.676444Z;199;188
0018;7;0;JD;1;8;0;1;v/r+g;3;S;vin-gerei-gareel-vel;./bwsn/data/bwsn/018-dummy-P-T008N008L1S00S-A.wav;./bwsn/data/bwsn/018-dummy-P-T008N008L1S00S-B.wav;1;2015-07-23T10:48:40.681936Z;2015-07-23T10:48:40.874082Z;2015-07-23T10:48:40.879561Z;2015-07-23T10:48:41.061775Z;173;159
0018;8;0;JD;1;8;0;1;n/m+l;2;W;nop-malloot-moluk-nes;./bwsn/data/bwsn/018-dummy-P-T009N008L1S00W-A.wav;./bwsn/data/bwsn/018-dummy-P-T009N008L1S00W-B.wav;1;2015-07-23T10:48:41.067561Z;2015-07-23T10:48:41.358610Z;2015-07-23T10:48:41.364224Z;2015-07-23T10:48:41.393037Z;147;18
0018;9;0;JD;1;9;0;1;k/l+r;3;S;kol-roelien-relaas-keep;./bwsn/data/bwsn/018-dummy-P-T010N009L1S00S-A.wav;./bwsn/data/bwsn/018-dummy-P-T010N009L1S00S-B.wav;1;2015-07-23T10:48:41.398461Z;2015-07-23T10:48:41.581238Z;2015-07-23T10:48:41.586560Z;2015-07-23T10:48:41.780241Z;176;188
0018;10;0;JD;1;10;0;2;m/t+n;1;B;meter-tennis-tunnel-moker;./bwsn/data/bwsn/018-dummy-P-T011N010L1S00B-A.wav;./bwsn/data/bwsn/018-dummy-P-T011N010L1S00B-B.wav;1;2015-07-23T10:48:41.785646Z;2015-07-23T10:48:41.980497Z;2015-07-23T10:48:41.985783Z;2015-07-23T10:48:42.180466Z;189;189
;0;0;;0;0;0;0;;0;;;;;0;1970-01-01T00:00:00.000000Z;1970-01-01T00:00:00.000000Z;1970-01-01T00:00:00.000000Z;1970-01-01T00:00:00.000000Z;0;0
0018;0;0;JD;1;18;5;1;b/v+z;2;W;bot-vazal-vizier-bit;./bwsn/data/bwsn/018-dummy-T-T001N018L1S05W-A.wav;./bwsn/data/bwsn/018-dummy-T-T001N018L1S05W-B.wav;1;2015-07-23T10:48:46.092181Z;2015-07-23T10:48:47.155882Z;2015-07-23T10:48:47.161544Z;2015-07-23T10:48:48.481361Z;882;1293
0018;1;0;JD;1;1;1;1;w/r+p;1;B;wok-rapper-roeper-wal;./bwsn/data/bwsn/018-dummy-T-T002N001L1S01B-A.wav;./bwsn/data/bwsn/018-dummy-T-T002N001L1S01B-B.wav;1;2015-07-23T10:48:48.487043Z;2015-07-23T10:48:50.465860Z;2015-07-23T10:48:50.488590Z;2015-07-23T10:48:51.506187Z;1943;998
;0;0;;0;0;0;0;;0;;;;;0;1970-01-01T00:00:00.000000Z;1970-01-01T00:00:00.000000Z;1970-01-01T00:00:00.000000Z;1970-01-01T00:00:00.000000Z;0;0
