### Test phase results ###
session_id;trialnum;condition;researcher_id;listnr;OrigNr;Set;NrSyll;conson;NrInSet;Cond;Stimulus;vis_WavFilename;inv_WavFilename;List;visible_recording_starttime;visible_recording_endtime;invisible_recording_starttime;invisible_recording_endtime;vis_rt;inv_rt
0002;0;0;JD;1;1;0;1;d/b+k;1;B;daf-bekken-baken-dep;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T001N001L1S00B-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T001N001L1S00B-B.wav;1;2015-07-10T10:06:31.951279Z;2015-07-10T10:06:35.030630Z;2015-07-10T10:06:35.031010Z;2015-07-10T10:06:36.150539Z;3079;1120
0002;1;0;JD;1;2;0;2;n/v+k;2;W;nukken-vulcaan-vokaal-nimmer;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T002N002L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T002N002L1S00W-B.wav;1;2015-07-10T10:06:36.150896Z;2015-07-10T10:06:36.650110Z;2015-07-10T10:06:36.650460Z;2015-07-10T10:06:36.680507Z;500;30
0002;2;0;JD;1;3;0;1;g/r+d;4;N;git-dieren-doris-gal;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T003N003L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T003N003L1S00N-B.wav;1;2015-07-10T10:06:36.680819Z;2015-07-10T10:06:36.710685Z;2015-07-10T10:06:36.711001Z;2015-07-10T10:06:36.740704Z;30;30
0002;3;0;JD;1;4;0;1;l/r+k;4;N;lis-kieren-kuren-lek;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T004N004L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T004N004L1S00N-B.wav;1;2015-07-10T10:06:36.740997Z;2015-07-10T10:06:36.770675Z;2015-07-10T10:06:36.770960Z;2015-07-10T10:06:36.799853Z;30;30
0002;4;0;JD;1;5;0;2;k/g+l;4;N;bedis-lemmet-lijmen-gedol;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T005N005L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T005N005L1S00N-B.wav;1;2015-07-10T10:06:36.800140Z;2015-07-10T10:06:36.830968Z;2015-07-10T10:06:36.831254Z;2015-07-10T10:06:36.861131Z;30;30
0002;5;0;JD;1;6;0;2;l/k+r;2;W;lommer-rokin-recruut-lasser;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T006N006L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T006N006L1S00W-B.wav;1;2015-07-10T10:06:36.861391Z;2015-07-10T10:06:36.891371Z;2015-07-10T10:06:36.891637Z;2015-07-10T10:06:36.922504Z;30;31
0002;6;0;JD;1;7;0;2;l/n+k;3;S;velours-kanon-konijn-geloof;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T007N007L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T007N007L1S00S-B.wav;1;2015-07-10T10:06:36.922772Z;2015-07-10T10:06:36.952426Z;2015-07-10T10:06:36.952687Z;2015-07-10T10:06:36.983010Z;30;30
0002;7;0;JD;1;8;0;1;v/r+g;3;S;vin-gerei-gareel-vel;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T008N008L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T008N008L1S00S-B.wav;1;2015-07-10T10:06:36.983297Z;2015-07-10T10:06:37.013751Z;2015-07-10T10:06:37.014023Z;2015-07-10T10:06:37.043559Z;30;30
0002;8;0;JD;1;8;0;1;n/m+l;2;W;nop-malloot-moluk-nes;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T009N008L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T009N008L1S00W-B.wav;1;2015-07-10T10:06:37.043855Z;2015-07-10T10:06:37.073772Z;2015-07-10T10:06:37.074039Z;2015-07-10T10:06:37.104233Z;31;31
0002;9;0;JD;1;9;0;1;k/l+r;3;S;kol-roelien-relaas-keep;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T010N009L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/002-dummy-P-T010N009L1S00S-B.wav;1;2015-07-10T10:06:37.104510Z;2015-07-10T10:06:37.133913Z;2015-07-10T10:06:37.134186Z;2015-07-10T10:06:37.164767Z;30;31
