### Test phase results ###
session_id;trialnum;condition;researcher_id;listnr;OrigNr;Set;NrSyll;conson;NrInSet;Cond;Stimulus;vis_WavFilename;inv_WavFilename;List;visible_recording_starttime;visible_recording_endtime;invisible_recording_starttime;invisible_recording_endtime;vis_rt;inv_rt
0008;0;0;JD;1;1;0;1;d/b+k;1;B;daf-bekken-baken-dep;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T001N001L1S00B-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T001N001L1S00B-B.wav;1;2015-07-10T11:25:32.952447Z;2015-07-10T11:25:34.573627Z;2015-07-10T11:25:34.574002Z;2015-07-10T11:25:36.909718Z;1621;2336
0008;1;0;JD;1;2;0;2;n/v+k;2;W;nukken-vulcaan-vokaal-nimmer;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T002N002L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T002N002L1S00W-B.wav;1;2015-07-10T11:25:36.910107Z;2015-07-10T11:25:37.629673Z;2015-07-10T11:25:37.630096Z;2015-07-10T11:25:38.129179Z;719;499
0008;2;0;JD;1;3;0;1;g/r+d;4;N;git-dieren-doris-gal;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T003N003L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T003N003L1S00N-B.wav;1;2015-07-10T11:25:38.129628Z;2015-07-10T11:25:38.159872Z;2015-07-10T11:25:38.160247Z;2015-07-10T11:25:38.190830Z;31;30
0008;3;0;JD;1;4;0;1;l/r+k;4;N;lis-kieren-kuren-lek;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T004N004L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T004N004L1S00N-B.wav;1;2015-07-10T11:25:38.191231Z;2015-07-10T11:25:38.220895Z;2015-07-10T11:25:38.221267Z;2015-07-10T11:25:38.251529Z;30;30
0008;4;0;JD;1;5;0;2;k/g+l;4;N;bedis-lemmet-lijmen-gedol;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T005N005L1S00N-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T005N005L1S00N-B.wav;1;2015-07-10T11:25:38.251886Z;2015-07-10T11:25:38.280939Z;2015-07-10T11:25:38.281276Z;2015-07-10T11:25:38.310855Z;30;30
0008;5;0;JD;1;6;0;2;l/k+r;2;W;lommer-rokin-recruut-lasser;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T006N006L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T006N006L1S00W-B.wav;1;2015-07-10T11:25:38.311202Z;2015-07-10T11:25:38.341505Z;2015-07-10T11:25:38.341861Z;2015-07-10T11:25:38.371623Z;30;30
0008;6;0;JD;1;7;0;2;l/n+k;3;S;velours-kanon-konijn-geloof;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T007N007L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T007N007L1S00S-B.wav;1;2015-07-10T11:25:38.372071Z;2015-07-10T11:25:38.402121Z;2015-07-10T11:25:38.402597Z;2015-07-10T11:25:38.432596Z;30;30
0008;7;0;JD;1;8;0;1;v/r+g;3;S;vin-gerei-gareel-vel;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T008N008L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T008N008L1S00S-B.wav;1;2015-07-10T11:25:38.433127Z;2015-07-10T11:25:38.462715Z;2015-07-10T11:25:38.463119Z;2015-07-10T11:25:38.492887Z;29;29
0008;8;0;JD;1;8;0;1;n/m+l;2;W;nop-malloot-moluk-nes;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T009N008L1S00W-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T009N008L1S00W-B.wav;1;2015-07-10T11:25:38.493330Z;2015-07-10T11:25:38.523092Z;2015-07-10T11:25:38.523452Z;2015-07-10T11:25:38.553992Z;30;30
0008;9;0;JD;1;9;0;1;k/l+r;3;S;kol-roelien-relaas-keep;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T010N009L1S00S-A.wav;/home/run/development/zep/sieb-nooteboom/experimenten/bwsn/data/bwsn/008-dummy-P-T010N009L1S00S-B.wav;1;2015-07-10T11:25:38.554413Z;2015-07-10T11:25:38.584064Z;2015-07-10T11:25:38.584492Z;2015-07-10T11:25:38.614299Z;30;30
