BEGIN (praclist)
//	OrigNr	SET	NRSYLL	CONSON	NR IN SET	COND	STIMULUS	LIST
	62,	16,	2,	"g/k+l",	2,	"W",	"gokker, kalot, Colijn, gister",		1;
	63,	16,	2,	"g/k+l",	3,	"S",	"begoot, lakei, loket, begeef",		1;
	64,	16,	2,	"g/k+l",	4,	"N",	"begaf, lakken, lekken, tegek",		1;
	65,	17,	2,	"t/d+k",	1,	"B",	"tijdig, deken, duiker, topper",		1;
	66,	17,	2,	"t/d+k",	2,	"W",	"tukker, decaan, ducaat, tinnef",		1;
	67,	17,	2,	"t/d+k",	3,	"S",	"getij, kadet, kado, beton",		1;
	68,	17,	2,	"t/d+k",	4,	"N",	"getik, kader, koddig, getal",		1;
	69,	18,	2,	"t/d+p",	1,	"B",	"tuigen, dapper, doping, togen",		1;
	70,	18,	2,	"t/d+p",	2,	"W",	"tering, depot, depêche, toner",		1;
	71,	18,	2,	"t/d+p",	3,	"S",	"getik, pedant, pedaal, getob",		1;
	72,	18,	2,	"t/d+p",	4,	"N",	"getal, peddel, padden, baton",		1;
	73,	19,	2,	"p/t+k",	1,	"B",	"peter, tekkel, tikker, poker",		1;
	74,	19,	2,	"p/t+k",	2,	"W",	"pieter, tekeer, tekort, pover",		1;
	75,	19,	2,	"p/t+k",	3,	"S",	"gepees, katoen, katijf, bepoot",		1;
	76,	19,	2,	"p/t+k",	4,	"N",	"bepakt, ketel, kater, gepeins",		1;
	77,	20,	2,	"d/z+l",	1,	"B",	"dader, zuilen, zaling, daler",		1;
	78,	20,	2,	"d/z+l",	2,	"W",	"dekking zeloot, zolang, duiten",	1;
	79,	20,	2,	"d/z+l",	3,	"S",	"gedaan, lazuur, lysol, gedoopt",		1;
	80,	20,	2,	"d/z+l",	4,	"N",	"bedot, lozing, lezer, gedimd",		1;
	81,	21,	2,	"sj/s+f",	1,	"B",	"sjalen, sufferd, saffie, sjezen",		1;
	82,	21,	2,	"sj/s+f",	2,	"W",	"sjieker, sofie, saffier, sjacher",		1;
	83,	21,	2,	"sj/s+f",	3,	"S",	"gesjouw, facet, fossiel, gesjok",	1;
	84,	21,	2,	"sj/s+f",	4,	"N",	"gesjor, fasces, facie, gesjans",		1;
	85,	22,	2,	"s/sj+m",	1,	"B",	"sijpel, sjoemel, sjekkie, sollen",	1;
	86,	22,	2,	"s/sj+m",	2,	"W",	"soppen, sjamaan, chauffeur, cello",	1;
	87,	22,	2,	"s/sj+m",	3,	"S",	"gesip, machien, michel, gesol",		1;
	88,	22,	2,	"s/sj+m",	4,	"N",	"besef, misje, muisje, gesim",		1;
	89,	23,	2,	"v/z+n",	1,	"B",	"vitter, zone, zanik, voeder",		1;
	90,	23,	2,	"v/z+n",	2,	"W",	"vielen, zonee, zonaal, vodden		1;
	91,	23,	2,	"v/z+n",	3,	"S",	"schavuit, nasaal, nazist, tevol",		1;
